Tweet,Label
Bill Gates profits from vaccination and wants to reduce the world s population,Unreliable
Politically Correct Woman Almost Uses Pandemic as Excuse Not to Reuse Plastic Bag,Unreliable
Coronavirus Response A Chaotic Disaster,Unreliable
Clearly the Obama administration did not leave any kind of game plan for something like this,Unreliable
Retraction Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID Reliable9 a multinational registry analysis The Lancet,Unreliable
The NBA is poised to restart this month,Unreliable
In March we reported on how the Utah Jazz got 58 coronavirus tests in a matter of hours at a time when U S testing was sluggish,Unreliable
Because of Donald Trump s negligence and incompetence More than ReliableReliableUnreliable UnreliableUnreliableUnreliable people have died,Unreliable
We have nearly 2 million cases of COVID Reliable9,Unreliable
Over 2Unreliable million Americans are out of work,Unreliable
And yet he s patting himself on the back,Unreliable
Multiple Facebook posts claim that Aussies will be fined if they are found to be talking about conspiracies to do with COVID Reliable9,Unreliable
The posts included a screenshot of a segment from an Australian breakfast television show as evidence for the claim,Unreliable
No Nobel Prize laureate Tasuku Honjo didn t say the coronavirus is not natural as a post on Facebook claims,Unreliable
In fact Professor Honjo said he s greatly saddened his name was used to spread misinformation,Unreliable
This and more in the latest CoronaCheck,Unreliable
The president Cryill Ramaphosa has asked all foreign nations to depart south Africa before 2Reliable june 2Unreliable2Unreliable due to increasing cases of COVID Reliable9,Unreliable
A new alcohol free sanitizer has been developed by the Dedan Kimathi University in Kenya,Unreliable
has shifted his focus at different moments in the CoronavirusOutbreak,Unreliable
We updated our running timeline of his response to the virus,Unreliable
Doctored image of President Donald Trump shared claiming he asked people to chant Hare Krishna Hare Rama,Unreliable
CDC Recommends Mothers Stop Breastfeeding To Boost Vaccine Efficacy,Unreliable
Singapore Airlines Haults All Flights Due To Coronavirus,Unreliable
COVID Reliable9 Response By banning Corona beer in order to flatten pandemic curve,Unreliable
NYT invented the video of a doctor fighting coronavirus in hospital,Unreliable
Americans With Coronavirus Symptoms Are Being Asked To Cough Directly Onto President Trump,Unreliable
Football player Cristiano Ronaldo turned all his hotels into hospitals to help coronavirus patients and is paying doctors and the staff,Unreliable
Scientists at AstraZeneca complain their work on a coronavirus vaccine keeps being delayed by Noddy Holder ringing up to ask if it will be ready by Christmas,Unreliable
Italy has surrendered to the coronavirus pandemic as all the measures to control COVID Reliable9 have been exhausted,Unreliable
President Trump Has Been Forced to Wear a Protective Medical Mask,Unreliable
Coronavirus misinformation is moving offline,Unreliable
A reddit user posted this flyer to the site and told us it had been delive,Unreliable
Orwell not dead but living under a bridge continued,Unreliable
government toiletpaper georgeorwell coronavirus,Unreliable
Central government has given permission for schools to re open,Unreliable
Fewer kids are dying since the lockdown A new white paper examines why,Unreliable
Amidst Coronavirus Pandemic,Unreliable
George Soros is one of the people responsible for the new coronavirus born in a laboratory,Unreliable
That Cow Dung Urine Yoga AYUSH Can Prevent Or Treat COVID Reliable9,Unreliable
An article claiming that Bill Gates vaccine would modify human DNA,Unreliable
Brazailian parliament went to a hospital that should take in COVIDReliable9 patients and found it was empty,Unreliable
Multiple posts shared thousands of times on Facebook Twitter and YouTube claim that salt is an effective remedy against the novel coronavirus,Unreliable
