Tweet,Label
Bill Gates profits from vaccination and wants to reduce the world s population,0
Politically Correct Woman Almost Uses Pandemic as Excuse Not to Reuse Plastic Bag,0
Coronavirus Response A Chaotic Disaster,0
Clearly the Obama administration did not leave any kind of game plan for something like this,0
Retraction Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID 1.09 a multinational registry analysis The Lancet,0
The NBA is poised to restart this month,0
In March we reported on how the Utah Jazz got 58 coronavirus tests in a matter of hours at a time when U S testing was sluggish,0
Because of Donald Trump s negligence and incompetence More than 1.01.00.0.0.0 0.0.0.00.0.0.00.0.0.0 people have died,0
We have nearly 2 million cases of COVID 1.09,0
Over 20.0.0.0 million Americans are out of work,0
And yet he s patting himself on the back,0
Multiple Facebook posts claim that Aussies will be fined if they are found to be talking about conspiracies to do with COVID 1.09,0
The posts included a screenshot of a segment from an Australian breakfast television show as evidence for the claim,0
No Nobel Prize laureate Tasuku Honjo didn t say the coronavirus is not natural as a post on Facebook claims,0
In fact Professor Honjo said he s greatly saddened his name was used to spread misinformation,0
This and more in the latest CoronaCheck,0
The president Cryill Ramaphosa has asked all foreign nations to depart south Africa before 21.0 june 20.0.0.020.0.0.0 due to increasing cases of COVID 1.09,0
A new alcohol free sanitizer has been developed by the Dedan Kimathi University in Kenya,0
has shifted his focus at different moments in the CoronavirusOutbreak,0
We updated our running timeline of his response to the virus,0
Doctored image of President Donald Trump shared claiming he asked people to chant Hare Krishna Hare Rama,0
CDC Recommends Mothers Stop Breastfeeding To Boost Vaccine Efficacy,0
Singapore Airlines Haults All Flights Due To Coronavirus,0
COVID 1.09 Response By banning Corona beer in order to flatten pandemic curve,0
NYT invented the video of a doctor fighting coronavirus in hospital,0
Americans With Coronavirus Symptoms Are Being Asked To Cough Directly Onto President Trump,0
Football player Cristiano Ronaldo turned all his hotels into hospitals to help coronavirus patients and is paying doctors and the staff,0
Scientists at AstraZeneca complain their work on a coronavirus vaccine keeps being delayed by Noddy Holder ringing up to ask if it will be ready by Christmas,0
Italy has surrendered to the coronavirus pandemic as all the measures to control COVID 1.09 have been exhausted,0
President Trump Has Been Forced to Wear a Protective Medical Mask,0
Coronavirus misinformation is moving offline,0
A reddit user posted this flyer to the site and told us it had been delive,0
Orwell not dead but living under a bridge continued,0
government toiletpaper georgeorwell coronavirus,0
Central government has given permission for schools to re open,0
Fewer kids are dying since the lockdown A new white paper examines why,0
Amidst Coronavirus Pandemic,0
George Soros is one of the people responsible for the new coronavirus born in a laboratory,0
That Cow Dung Urine Yoga AYUSH Can Prevent Or Treat COVID 1.09,0
An article claiming that Bill Gates vaccine would modify human DNA,0
Brazailian parliament went to a hospital that should take in COVID1.09 patients and found it was empty,0
Multiple posts shared thousands of times on Facebook Twitter and YouTube claim that salt is an effective remedy against the novel coronavirus,0
An Instagram post is claiming Covid 1.09 tests tainted with coronavirus have been in circulation for many months,0
Philippines Senators Grace Poe and Risa Hontiveros have been silent over the coronavirus crisis but were very vocal about the closure of ABS CBN,0
The most important consequence of seeing COVID 1.09 as a syndemic is to underline its social origins,0
The vulnerability of older citizens Black Asian and minority ethnic communities and key workers who are commonly poorly paid with fewer welfare protections,0
A video shows an Italian doctor who says that nobody died from coronavirus in Italy that it s not more dangerous than a flu,0
Seasonal influenza vaccination will be mandatory in Georgia this fall,0
COVID 1.09 mortality rates are significantly lower than the fatalities caused by other viruses,0
There is a person with coronavirus in Galicia on 2 4 20.0.0.0,0
Claim that the Jordanian Health minister says COVID 1.09 is a conspiracy in a video,0
A precautionary message that one can catch fire due to hand sanitizer as it has a high amount of alcohol,0
The message also shows the hands of a lady who after applying sanitizer went near the stove and ended up burning her hands,0
Says Rudy Giuliani bought 2M in shares of Novartis a primary supplier of hydroxychloroquine in early February,0
A student from Pondicherry University in India has found a home remedy for COVID 1.09 that has been accepted by World Health Organization WHO,0
Footballer Ronaldo is turning his hotels into COVID 1.09 hospitals,0
President Trump Says Pandas Are Responsible For Covid 1.09,0
This is an image of a suspected coronavirus vaccine causing COVID 1.09,0
Camila Pitanga Brazilian actress contracted COVID 1.09 but said she caught malaria so she could take chloroquine without admitting she was wrong,0
The new coronavirus causes sudden death syndrome,0
India has lost over 50.0.0.00.0.0.00.0.0.00.0.0.0 individuals to coronavirus till date,0
In view of the rising coronavirus cases Bihar government extends lockdown in the state till 6 September,0
At Nationalist Congress Party chief Sharad Pawar s residence four people tested positive for coronavirus,0
Nasal flu vaccine side effects do not cause covid,0
India began screening passengers from COVID1.09 affected countries before it had a single case,0
PM Modi Fact The govt mandated universal screening of all internat l flights only on March 4 by when 27 cases had been detected across 5 Indian states,0
a MILITARY BIO WEAPON Developed by China s Army,0
In Indore India Police and doctors are injecting coronavirus positive blood in Muslims,0
Photo of a vaccine developed by U S scientists for COVID 1.09,0
A video clip shows a doctor couple who died after treating 1.034 COVID 1.09 patients,0
Not one politician has died from the virus,0
Leaked Report Says There Are Too Many Humans On The Planet,0
India spraying pesticides at night to prevent COVID 1.09,0
Home Ministry Has Declared That Posting On Coronavirus Has Been Declared A Punishable Offense,0
Free Coronavirus Test Kits Available To All,0
Scientists are expressing cautious optimism that a COVID 1.09 vaccine can be ready to go by the late spring of 20.0.0.021.0 although it s,0
unclear how much longer it would take to distribute the vaccine widely,0
Video shows the first infected patient of COVID 1.09 at Dhanbad Hospital,0
Says Daniel Radcliffe has the coronavirus,0
This is how scientists believe coronavirus affects the body,0
Former Rep Trey Gowdy wrote essay past on social media claiming the COVID 1.09 pandemic was planned to help Democrats in the 20.0.0.020.0.0.0 election,0
Product pages on are offering toxic chlorine dioxide an industrial bleach often sold under the name Miracle Mineral Solution as a covid1.09 cure,0
Able to cure patient within 3 hours after injection,0
Right now Trump announced that Roche Medical Company will launch the vaccine next Sunday and millions of doses are ready from it,0
This message requires confirmation,0
Covid is never going away,0
This is the beach today in Raleigh North Carolina,0
Pope Francis Dying Of The Coronavirus,0
People are offering prayers in groups on rooftops despite lockdown,0
That too when cases of coronavirus in India are continuously increasing,0
There are 1.00.0.0.00.0.0.00.0.0.0 open vacancies for nurses doctors and other health professionals to work on a temporary hospital in S o Paulo which will be used to treat COVID 1.09 cases,0
A photo from the funeral of a recently deceased Sri Lankan politician Arumugam Thondaman has been shared thousands of times in multiple Facebook posts,0
The posts claim the image shows one of Thondaman s,0
daughters violated Sri Lanka s mandatory coronavirus quarantine policy for travelers by attending the ceremony shortly after returning to the country from overseas,0
While it is true that coronavirus can cause a sore throat and gargling with salt and warm water may make it feel better it has no direct effect on the virus,0
Indian politician Uddhav Thackeray has asked Christians to pray to Jesus to stop COVID 1.09,0
There are 59 positive coronavirus cases in Nagpur along with three doctors one of whom is on ventilator,0
A photo shows people infected with coronavirus lying on the sidewalk in China,0
States like New York Illinois and California have been vocal in their demands for funding to bail out their pension systems which were failing long before the COVID 1.09 outbreak and other programs that aren t related to this crisis,0
Anti vaxxers close to deciding which medical conditions they will pretend are caused by Coronavirus vaccine,0
WHO announces Algeria outside of danger regarding COVID 1.09,0
Antibodies for the common cold produce a positive COVID 1.09 test,0
False positive results from COVID 1.09 antibody testing are behind the COVID 1.09 cases reported in the U S,0
Man beaten in Deoria India in lockdown time,0
Photos show masses fleeing Myanmar for Thailand due to coronavirus pandemic,0
In the backdrop of the lockdown videos of wild animals taking over the roads are surfacing on the internet,0
Among them a set of pictures of a herd of deer is doing the rounds on social media claiming that these pictures are from Lake Club Chandigarh,0
Is there one or two trusted websites that you follow to provide a good summary and amp update on covid,0
I follow and he does a really good job,0
Recent video touted importance of Vitamin D and elderberry among other things,0
Sir Ganga Ram Hospital has directed patients to stay at home n treat Urself,0
Implies Delhi Govt has miserably failed in its administrative responsibility of providing health care n left the Delhites to their fate,0
Joe Diffie s death was labeled as a COVID 1.09 death and it wasn t,0
A doctor named Leslie Chow discovered the coronavirus and died after contact with coronavirus patients,0
Says there is no COVID 1.09 virus,0
Trump s effort to blame Obama for sluggish coronavirus testing,0
